[23-Mar-2026 17:06:02 Asia/Manila] PHP Warning:  Undefined array key "Asset Management System" in C:\xampp\htdocs\plan b\index.php on line 52
[23-Mar-2026 17:06:09 Asia/Manila] PHP Warning:  Undefined array key "Asset Management System" in C:\xampp\htdocs\plan b\index.php on line 52
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 193
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 194
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 195
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 196
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 197
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 200
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 200
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 210
[25-Mar-2026 12:00:28 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 211
[25-Mar-2026 12:00:29 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 212
[25-Mar-2026 12:00:29 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 213
[25-Mar-2026 12:00:29 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 214
[25-Mar-2026 12:00:29 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 215
[25-Mar-2026 12:00:29 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 216
[25-Mar-2026 12:02:34 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 193
[25-Mar-2026 12:02:34 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 194
[25-Mar-2026 12:02:34 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 195
[25-Mar-2026 12:02:34 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 196
[25-Mar-2026 12:02:34 Asia/Manila] PHP Deprecated:  fputcsv(): the $escape parameter must be provided as its default value will change in C:\xampp\htdocs\plan b\app\Services\ReportService.php on line 197
